slice_id	percent	sha	date
000	27.01	e935c7b	2026-09-06
001	30.37	5a9c8f7	2026-09-06
010	44.88	45ba4f0	2026-09-20
011	51.57	ec5334a	2026-09-20
012	60.82	019d9cf	2026-09-20
013	64.41	080c543	2026-09-20
020	67.18	8a5b7ae	2026-09-20
021	72.45	1f3727f	2026-09-20
022	74.85	1fb1372	2026-09-20
023	75.39	5989b73	2026-09-20
003	75.39	39518c2	2026-09-20
024	76.55	f977b84	2026-09-20
031	76.96	866dc3f	2026-09-20
030	78.40	c657da8	2026-09-21
033	78.50	3b5e89e	2026-09-21
034	78.83	3a5785f	2026-09-21
032	78.99	193800e	2026-09-21
040	79.86	dc9dc6b	2026-09-21
041	80.55	ae200d7	2026-09-21
059	80.54	53c9091	2026-09-21
060	80.32	49f40a4	2026-09-21
061	80.05	c6b6faa	2026-09-22
050	80.31	c01466d	2026-09-22
002	80.31	d65c48c	2026-09-23
025	80.31	2c4fe1f	2026-09-23
080	80.31	a7630ba	2026-09-24
090	80.31	3e4185a	2026-09-24
027	80.31	f0b02f5	2026-09-24
